id,group,height
1,USA,172.3
2,USA,202.6
3,USA,148.7
4,USA,155
5,USA,171
6,USA,181.7
7,USA,198.2
8,USA,171.2
9,USA,172.8
10,USA,193.7
11,USA,166.2
12,USA,168.5
13,USA,183.4
14,USA,196.9
15,USA,167.8
16,USA,180.8
17,USA,197.8
18,USA,162.8
19,USA,207.3
20,USA,193.5
21,USA,204.4
22,USA,180.9
23,USA,163.5
24,USA,184.5
25,USA,175.7
26,USA,193
27,USA,152.3
28,USA,158.6
29,USA,182.2
30,USA,176.7
31,USA,198.1
32,USA,156.4
33,USA,146.9
34,USA,135.7
35,USA,156.8
36,USA,152.8
37,USA,186.2
38,USA,176.7
39,USA,169.5
40,USA,190.9
41,USA,174.8
42,USA,179.9
43,USA,175.3
44,USA,188.9
45,USA,129
46,USA,196.2
47,USA,178.2
48,USA,198.4
49,USA,191.3
50,USA,187.8
51,USA,164
52,USA,184.5
53,USA,190.5
54,USA,157.3
55,USA,176.5
56,USA,166.2
57,USA,185.7
58,USA,201.2
59,USA,163
60,USA,174.6
61,USA,186.3
62,USA,189.2
63,USA,161.1
64,USA,171.9
65,USA,142.3
66,USA,190.1
67,USA,179.2
68,USA,166.7
69,USA,168.6
70,USA,173.2
71,USA,161.3
72,USA,181.9
73,USA,207.4
74,USA,167.3
75,USA,166.9
76,USA,172.3
77,USA,164.9
78,USA,203.4
79,USA,186.4
80,USA,184.5
81,USA,158.1
82,USA,151.2
83,USA,172
84,USA,148.9
85,USA,154.3
86,USA,166.4
87,USA,152.4
88,USA,161.8
89,USA,176
90,USA,183.3
91,USA,184.2
92,USA,188.4
93,USA,181.8
94,USA,176.9
95,USA,174.6
96,USA,192.7
97,USA,157.4
98,USA,187.7
99,USA,169.1
100,USA,168.6
101,USA,152.9
102,USA,173.5
103,USA,166.8
104,USA,160.9
105,USA,170.4
106,USA,162.1
107,USA,186.3
108,USA,175.3
109,USA,169.8
110,USA,176.3
111,USA,175.7
112,USA,186.8
113,USA,152.4
114,USA,168
115,USA,175.6
116,USA,161.4
117,USA,158.4
118,USA,152.7
119,USA,164.8
120,USA,161
121,USA,172.7
122,USA,176.4
123,USA,171.3
124,USA,167.8
125,USA,159.4
126,USA,200.3
127,USA,155
128,USA,177
129,USA,173.7
130,USA,195.8
131,USA,144.3
132,USA,170.3
133,USA,158
134,USA,191.7
135,USA,158.6
136,USA,199.4
137,USA,156.3
138,USA,146.3
139,USA,169.8
140,USA,199.5
141,USA,157.1
142,USA,167
143,USA,175.3
144,USA,156
145,USA,205.8
146,USA,189
147,USA,195.3
148,USA,198.6
149,USA,173.4
150,USA,193.2
151,USA,174.9
152,USA,170
153,USA,203.2
154,USA,167.1
155,USA,180.4
156,USA,210.2
157,USA,199.3
158,USA,167.7
159,USA,188.2
160,USA,176.2
161,USA,197.2
162,USA,174.3
163,USA,163.3
164,Taiwan,174.1
165,Taiwan,135.7
166,Taiwan,172.3
167,Taiwan,168.1
168,Taiwan,142.1
169,Taiwan,187.3
170,Taiwan,168.7
171,Taiwan,150.6
172,Taiwan,193.2
173,Taiwan,167.8
174,Taiwan,167.9
175,Taiwan,162
176,Taiwan,176.6
177,Taiwan,177.3
178,Taiwan,183.2
179,Taiwan,167.6
180,Taiwan,168.3
181,Taiwan,174.2
182,Taiwan,158.5
183,Taiwan,182.8
184,Taiwan,188.6
185,Taiwan,181.9
186,Taiwan,164.4
187,Taiwan,168.7
188,Taiwan,190.1
189,Taiwan,179.5
190,Taiwan,158.2
191,Taiwan,174.1
192,Taiwan,158.7
193,Taiwan,184.9
194,Taiwan,173.9
195,Taiwan,177
196,Taiwan,173.8
197,Taiwan,170.1
198,Taiwan,190.6
199,Taiwan,162.7
200,Taiwan,154
201,Taiwan,177.3
202,Taiwan,185.3
203,Taiwan,189.3
204,Taiwan,174.5
205,Taiwan,144.8
206,Taiwan,170.6
207,Taiwan,174.8
208,Taiwan,146.1
209,Taiwan,184.8
210,Taiwan,170.7
211,Taiwan,168.6
212,Taiwan,153.8
213,Taiwan,166
214,Taiwan,176.9
215,Taiwan,150
216,Taiwan,192
217,Taiwan,181.2
218,Taiwan,141.7
219,Taiwan,150.5
220,Taiwan,172.7
221,Taiwan,149.6
222,Taiwan,168.8
223,Taiwan,180.5
224,Taiwan,182.3
225,Taiwan,169.6
226,Taiwan,172.5
227,Taiwan,167.7
228,Taiwan,169.8
229,Taiwan,164
230,Taiwan,151
231,Taiwan,152.2
232,Taiwan,216.9
233,Taiwan,163.4
234,Taiwan,188.4
235,Taiwan,173.3
236,Taiwan,166.6
237,Taiwan,142.1
238,Taiwan,173.4
239,Taiwan,172.5
240,Taiwan,179.3
241,Taiwan,179.4
242,Taiwan,170.4
243,Taiwan,160.5
244,Taiwan,171
245,Taiwan,155.6
246,Taiwan,184.4
247,Taiwan,174.1
248,Taiwan,175
249,Taiwan,194.2
250,Taiwan,167
251,Taiwan,175
252,Taiwan,170.9
253,Taiwan,169
254,Taiwan,146.3
255,Taiwan,199.1
256,Taiwan,158.8
257,Taiwan,170.5
258,Taiwan,195.1
259,Taiwan,142.8
260,Taiwan,161
261,Taiwan,148.7
262,Taiwan,148.6
263,Taiwan,186.8
264,Taiwan,138.1
265,Taiwan,172.6
266,Taiwan,165.2
267,Taiwan,147.6
268,Taiwan,208.9
269,Taiwan,194.3
270,Taiwan,170.2
271,Taiwan,144.2
272,Taiwan,149.8
273,Taiwan,145.3
274,Taiwan,151.6
275,Taiwan,167.2
276,Taiwan,183.6
277,Taiwan,188.8
278,Taiwan,149.4
279,Taiwan,130.3
280,Taiwan,153.6
281,Taiwan,182
282,Taiwan,184.4
283,Taiwan,151.7
